id,add,datetime,time_casa,time_fora,bethouse1,mercado1,valor1,odd1,aposta1,resultado1,bethouse2,mercado2,valor2,odd2,aposta2,resultado2,bethouse3,mercado3,valor3,odd3,aposta3,resultado3,lucro_estimado,lucro_per_estimado,lucroReal,lucro_perReal,esporte
50,2023-05-02 20:49:36,2023-05-03 06:30:00,Moreland City,Mooroolbark,Pinnacle,AH2,3.0,2.51,8.25,win,VBet,AH1,-3.0,2.19,9.45,loss,,,,0.0,0.0,,Soccer,,3.01,0.1700564971751412,
51,2023-05-02 20:51:28,2023-05-03 06:30:00,"	
Moreland City",Mooroolbark,VBet,ScoreBoth,,3.9,6.55,win,FavBet,Not,,1.79,14.24,loss,,,,0.0,0.0,,Soccer,,4.75,0.2284752284752285,
52,2023-05-02 20:55:45,2023-05-03 06:30:00,Moreland City,Mooroolbark,VBet,EH2,2.0,6.2,4.4,loss,VBet,EHX,2.0,4.75,6.0,win,FavBet,AH1,-2.5,1.71,15.85,loss,Soccer,,2.25,0.0857142857142857,
53,2023-05-03 01:59:48,2023-05-03 12:59:00,"
Bodo Glimt",Odds BK,VBet,TU,3.0,1.85,14.41,win,BetFair,TO2,2.5,1.82,6.97,loss,BetFair,TO2,3.5,3.0,4.8,loss,"	
Football",,0.48,0.018334606569900685,
54,2023-05-03 02:14:51,2023-05-07 03:00:00,Mito HollyHock,Vegalta Sendai,FavBet,TO,2.0,1.69,32.61,loss,Pinnacle,TU,2.0,2.96,18.62,win,,,,0.0,0.0,,"
Soccer",,3.89,0.0759320710521179,
55,2023-05-03 02:16:27,2023-05-07 03:00:00,Mito HollyHock,Vegalta SendaiMito HollyHock,FavBet,TO,3.0,3.35,9.57,loss,Pinnacle,TU,3.0,1.5,21.37,win,,,,0.0,0.0,,Soccer,,1.11,0.03587588881706529,
56,2023-05-03 02:18:25,2023-05-07 02:00:00,Montedio Yamagata,Fujieda MyfcMontedio Yamagata,Pinnacle,AH2,0.0,2.44,20.07,loss,FavBet,AH1,0.0,1.85,26.47,win,,,,0.0,0.0,,"Montedio Yamagata - Fujieda Myfc
Soccer",,2.43,0.05221314997851311,
57,2023-05-03 03:15:17,2023-05-03 06:30:00,Moreland City SC,"Mooroolbark SC
",VBet,ScoreBoth,,2.65,3.85,win,BetFair,Not,,2.2,4.64,loss,,,,0.0,0.0,,Football,,1.71,0.2014134275618374,
58,2023-05-03 03:17:08,2023-05-07 02:00:00,Yokohama F. Marinos,Kyoto Sanga,FavBet,TO,3.0,2.26,44.64,win,Pinnacle,TU,3.0,2.02,49.94,loss,,,,0.0,0.0,,"
Soccer",,6.31,0.06671600761260309,
59,2023-05-03 03:19:10,2023-05-07 03:00:00,Kawasaki,"Tosu
",BetFair,TO1,1.5,2.0,14.36,loss,Pinnacle,TU1,1.5,2.15,13.36,win,,,,0.0,0.0,,Football,,1.0,0.03607503607503608,
